scenario,city_group,suite,tl_logic_count,signalized_junction_count,edge_count,lane_count,green_phase_count,source_counterfactual_rows,source_counterfactual_groups,tls_coverage_fraction,provenance
grid4x4,resco_synthetic,RESCO,16,16,80,240,160,5184,648,1.0,RESCO benchmark synthetic grid
arterial4x4,resco_synthetic,RESCO,16,16,80,120,96,3240,648,1.0,RESCO benchmark synthetic arterial
cologne1,cologne,RESCO,1,1,10,19,8,1296,162,1.0,RESCO Cologne subnetwork
cologne3,cologne,RESCO,3,3,48,76,16,1782,486,1.0,RESCO Cologne subnetwork
cologne8,cologne,RESCO,8,8,149,157,35,2025,648,1.0,RESCO Cologne subnetwork
ingolstadt1,ingolstadt,RESCO,1,1,11,33,4,270,90,1.0,RESCO Ingolstadt subnetwork
ingolstadt7,ingolstadt,RESCO,7,7,95,276,28,1404,460,1.0,RESCO Ingolstadt subnetwork
ingolstadt21,ingolstadt,RESCO,21,24,853,1918,90,2066,648,1.0,RESCO Ingolstadt subnetwork
atlanta_1x5,atlanta,LibSignal,5,5,32,55,26,2146,612,1.0,LibSignal Atlanta corridor
hangzhou_bc_tyc,hangzhou,LibSignal,1,1,8,16,8,312,39,1.0,LibSignal Hangzhou observed-flow intersection
hangzhou_kn_hz,hangzhou,LibSignal,1,1,8,16,8,376,47,1.0,LibSignal Hangzhou observed-flow intersection
hangzhou_qc_yn,hangzhou,LibSignal,1,1,8,16,8,336,42,1.0,LibSignal Hangzhou observed-flow intersection
hangzhou_sb_sx,hangzhou,LibSignal,1,1,8,16,8,344,43,1.0,LibSignal Hangzhou observed-flow intersection
hangzhou_4x4,hangzhou,LibSignal,16,16,80,240,128,5751,639,1.0,LibSignal Hangzhou observed-flow grid
hangzhou_4x4_hetero,hangzhou,LibSignal,16,16,76,228,128,5778,642,1.0,LibSignal Hangzhou heterogeneous grid variant
manhattan_28x7,new_york,LibSignal,196,196,854,2562,3136,5832,648,1.0,LibSignal Manhattan observed-flow grid
